service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2_4_5_7_13_15_16_18_20_32-5008,1,1,1,1,1,0,0,20260321,20260828
2_4_5_7_13_15_16_18_20_32-5004,1,1,1,1,1,0,0,20260321,20260828
19-5002,0,0,0,0,0,1,0,20260321,20260829
3_6_14_28-5087,1,1,0,1,1,0,0,20260321,20260703
1-5001,0,0,0,0,0,0,1,20260321,20260830
17-5069,0,0,1,0,0,0,0,20260321,20260701
2_4_5_7_13_15_16_18_20_32-5000,1,1,1,1,1,0,0,20260321,20260828
17-5030,0,0,1,0,0,0,0,20260321,20260701
17-5103,0,0,1,0,0,0,0,20260321,20260701
17-5112,0,0,1,0,0,0,0,20260321,20260701
17-5133,0,0,1,0,0,0,0,20260321,20260701
17-5073,0,0,1,0,0,0,0,20260321,20260701
17-5077,0,0,1,0,0,0,0,20260321,20260701
17-5136,0,0,1,0,0,0,0,20260321,20260701
17-5064,0,0,1,0,0,0,0,20260321,20260701
17-5119,0,0,1,0,0,0,0,20260321,20260701
17-5120,0,0,1,0,0,0,0,20260321,20260701
17-5090,0,0,1,0,0,0,0,20260321,20260701
17-5068,0,0,1,0,0,0,0,20260321,20260701
17-5036,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5127,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5127,1,1,1,1,1,0,0,20260321,20260703
17-5013,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5013,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5013,1,1,1,1,1,0,0,20260321,20260703
17_28-5059,0,0,1,0,1,0,0,20260321,20260703
3_6_14_28-5017,1,1,0,1,1,0,0,20260321,20260703
3_6_14_28-5012,1,1,0,1,1,0,0,20260321,20260703
2_4_5_7_13_15_16_18_20_32-5007,1,1,1,1,1,0,0,20260321,20260828
1-5007,0,0,0,0,0,0,1,20260321,20260830
3_6_14_17_28-5007,1,1,1,1,1,0,0,20260321,20260703
19-5007,0,0,0,0,0,1,0,20260321,20260829
1_19-5008,0,0,0,0,0,1,1,20260321,20260830
3_6_14_17_28-5008,1,1,1,1,1,0,0,20260321,20260703
17-5008,0,0,1,0,0,0,0,20260321,20260701
17-5121,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5121,1,1,1,1,1,0,0,20260321,20260703
3_6_14_28-5121,1,1,0,1,1,0,0,20260321,20260703
3_4_6_7_14_15_17_18_28_32-5005,1,1,1,1,1,0,0,20260321,20260828
1-5005,0,0,0,0,0,0,1,20260321,20260830
19-5005,0,0,0,0,0,1,0,20260321,20260829
17-5067,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5067,1,1,1,1,1,0,0,20260321,20260703
3_6_14_28-5067,1,1,0,1,1,0,0,20260321,20260703
17-5107,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5107,1,1,1,1,1,0,0,20260321,20260703
19-5004,0,0,0,0,0,1,0,20260321,20260829
3_6_14_17_28-5004,1,1,1,1,1,0,0,20260321,20260703
1-5004,0,0,0,0,0,0,1,20260321,20260830
1-5002,0,0,0,0,0,0,1,20260321,20260830
3_4_6_7_14_15_17_18_28_32-5002,1,1,1,1,1,0,0,20260321,20260828
3_6_14_17_28-5002,1,1,1,1,1,0,0,20260321,20260703
3_6_14_17_28-5116,1,1,1,1,1,0,0,20260321,20260703
17-5116,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5116,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5009,1,1,1,1,1,0,0,20260321,20260703
2_4_5_7_13_15_16_18_20_32-5009,1,1,1,1,1,0,0,20260321,20260828
19-5009,0,0,0,0,0,1,0,20260321,20260829
3_6_14_17_28-5063,1,1,1,1,1,0,0,20260321,20260703
3_6_14_28-5063,1,1,0,1,1,0,0,20260321,20260703
17-5063,0,0,1,0,0,0,0,20260321,20260701
17-5087,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5087,1,1,1,1,1,0,0,20260321,20260703
17-5106,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5106,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5106,1,1,1,1,1,0,0,20260321,20260703
4_7_15_18_32-5003,0,1,1,1,1,0,0,20260321,20260828
3_6_14_17_28-5003,1,1,1,1,1,0,0,20260321,20260703
1_19-5003,0,0,0,0,0,1,1,20260321,20260830
3_4_6_7_14_15_17_18_28_32-5001,1,1,1,1,1,0,0,20260321,20260828
2_5_13_16_19_20-5001,0,0,0,0,0,1,0,20260321,20260829
3_6_14_28-5126,1,1,0,1,1,0,0,20260321,20260703
17-5126,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5042,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5126,1,1,1,1,1,0,0,20260321,20260703
3_6_14_17_28-5021,1,1,1,1,1,0,0,20260321,20260703
17-5021,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5021,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5069,1,1,1,1,1,0,0,20260321,20260703
3_6_14_28-5069,1,1,0,1,1,0,0,20260321,20260703
3_6_14_28-5094,1,1,0,1,1,0,0,20260321,20260703
17-5042,0,0,1,0,0,0,0,20260321,20260701
17-5039,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5094,1,1,1,1,1,0,0,20260321,20260703
17-5094,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5040,1,1,1,1,1,0,0,20260321,20260703
3_6_14_28-5040,1,1,0,1,1,0,0,20260321,20260703
17-5040,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5041,1,1,1,1,1,0,0,20260321,20260703
17-5041,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5041,1,1,0,1,1,0,0,20260321,20260703
17-5114,0,0,1,0,0,0,0,20260321,20260701
17-5047,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5114,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5114,1,1,1,1,1,0,0,20260321,20260703
3_6_14_28-5070,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5070,1,1,1,1,1,0,0,20260321,20260703
17-5070,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5099,1,1,1,1,1,0,0,20260321,20260703
17-5099,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5099,1,1,0,1,1,0,0,20260321,20260703
17-5051,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5051,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5051,1,1,1,1,1,0,0,20260321,20260703
3_6_14_28-5027,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5027,1,1,1,1,1,0,0,20260321,20260703
17-5027,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5137,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5137,1,1,1,1,1,0,0,20260321,20260703
17-5137,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5034,1,1,1,1,1,0,0,20260321,20260703
17-5034,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5034,1,1,0,1,1,0,0,20260321,20260703
3_6_14_17_28-5095,1,1,1,1,1,0,0,20260321,20260703
17-5095,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5095,1,1,0,1,1,0,0,20260321,20260703
3_6_14_28-5057,1,1,0,1,1,0,0,20260321,20260703
3_6_14_28-5091,1,1,0,1,1,0,0,20260321,20260703
17-5091,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5091,1,1,1,1,1,0,0,20260321,20260703
3_6_14_17_28-5018,1,1,1,1,1,0,0,20260321,20260703
17-5018,0,0,1,0,0,0,0,20260321,20260701
3_6_14_28-5018,1,1,0,1,1,0,0,20260321,20260703
1_19-5000,0,0,0,0,0,1,1,20260321,20260830
3_6_14_17_28-5000,1,1,1,1,1,0,0,20260321,20260703
17-5115,0,0,1,0,0,0,0,20260321,20260701
3_6_14_17_28-5115,1,1,1,1,1,0,0,20260321,20260703
