route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
2001,1,217,Gare de Tarare - Charmilles,,3,D3D800,
2002,1,237,Cours Le Bourg - Gare de Tarare,,3,2699D6,
2003,1,239,La Grange Neuve - Gare d'Amplepuis,,3,EC6608,
2004,1,240,Parking Winslow - Gare de Roanne,,3,6BA230,
2006,1,265,Claveisolles Salle Polyvalente - Gare de Villefran,,3,E5007D,
5007,1,235,Beaujeu - Belleville-En-Beaujolais,,3,6BA230,FFFFFF
5005,1,161,Belleville-En-Beaujolais,,3,662483,000000
5000,1,215,Villefranche-Sur-Saône - Lissieu - Lyon,,3,6BA230,000000
5001,1,231,Belleville - Villefranche-Sur-Saône,,3,FDC300,000000
5003,1,218,L'Arbresle - Villefranche-Sur-Saône,,3,6E8997,FFFFFF
5004,1,219,Val-d'Oingt - Villefranche-Sur-Saône,,3,F191A4,FFFFFF
5008,1,236,Deux-Grosnes - Villefranche-Sur-Saône,,3,662483,FFFFFF
5009,1,238,Fleurie - Belleville-En-Beaujolais,,3,F191A4,FFFFFF
2080,1,216,Gare de Tarare - Gorge de Loup,,3,992358,FFFFFF
2081,1,164,Haut de Tarare - Aquaval,,3,6E8997,FFFFFF
6025,1,151,Collège Maurice Utrillo - Surchamp,,3,C88817,FFFFFF
6026,1,152,L'Escale - Route de Frans,,3,0075BF,FFFFFF
6027,1,153,Gleizé Hôpital - Carrefour de l'Europe,,3,009E3D,FFFFFF
6028,1,154,Collège Maurice Utrillo - Burdeau,,3,BCA3CE,000000
6029,1,155,Gleizé Mairie- Limas Eglise,,3,EC6608,FFFFFF
6030,1,156,Villefranche Gare - Villefranche Gare,,3,6BA230,FFFFFF
3080,1,211,Rond Point Parilly - Vienne Gare Routière,,3,EC6608,FFFFFF
3081,1,212,Rond Point Parilly - Le Fayet,,3,2699D6,FFFFFF
3082,1,213,Rond Point Parilly - Givors Gare Ville,,3,6BA230,FFFFFF
3083,1,214,Hôpital Lyon Sud - Givors Gare Ville,,3,2699D6,FFFFFF
3084,1,165,Gare d'Oullins - Millery L'Etang,,3,E50069,FFFFFF
3085,1,220,Perrache - Givors Gare Ville,,3,D3D800,FFFFFF
3086,1,245,Gare d'Oullins - Rive de Gier Mairie,,3,009E3D,FFFFFF
3087,1,C205,Hôpital Lyon Sud - Mornant Centre Aquatique,,11,EC6608,FFFFFF
7601,1,NAVI1,Vaise Industrie - Terrasses Presqu’île / Confluence,,4,00A3A6,FFFFFF
4131,1,222,ZA Les Plattes - ZA Les Grandes Terres,,3,6E8997,FFFFFF
4132,1,241,CHEVINAY Cimetiere  - College des 4 vents,,3,F191A4,000000
4133,1,243,Parking Charles de Gaulle - L'ARBRESLE Gare,,3,004F9F,FFFFFF
4134,1,247,Gorge-de-Loup - Parc Lacroix Laval,,3,FDC300,000000
4135,1,285,Place Des Rosiers - SARCEY Mairie,,3,2699D6,FFFFFF
4252,1,C202,Avenue du 11 Novembre - Gorge-de-Loup,,11,83C492,000000
C,1,C,Hôtel de Ville - Cuire,REG,1,F8961D,FFFFFF
RX,1,RX,Rhônexpress Gare Part-Dieu - Aéroport St Exupéry,REG,0,A681F9,FFFFFF
TS,1,TS,Navette OL Stadium,EVE,0,370AF8,
10E,1,10E,Gare de Vaise - Porte de Lyon,REG,3,5B93F2,FFFFFF
52E,1,52E,Vaulx-en-Velin La Soie - Bron Droits de l'Homme,REG,3,FFE500,FFFFFF
89D,1,89D,Gare de Vaise - Porte de Lyon,REG,3,E2001A,FFFFFF
A32,1,A32,Pont Guillotière - Crépieux Les Brosses (vers Bourg-en-B.),REG,3,575756,FFFFFF
A71,1,A71,Pont Guillotière - Crépieux Les Brosses (vers Montluel),REG,3,575756,FFFFFF
BGS1,1,BGS1,Navette OL Stadium - Panettes,EVE,3,8400A8,
BGS2,1,BGS2,Navette OL Stadium - Eurexpo,EVE,3,00AD45,
C15E,1,C15E,Mermoz Pinel  - Parilly Université Hippodrome,REG,11,FFE500,FFFFFF
C20E,1,C20E,Bellecour St Exupéry - Fort du Bruissin,REG,11,FFE500,000000
C22E,1,C22E,Gorge de Loup - Brindas Centre,REG,11,FFE500,FFFFFF
N20,1,N20,Gare de Vaise - Mont Thou,REG,711,E44EFF,FFFFFF
N83,1,N83,Vaulx-en-Velin La Soie - Grand Parc L'atol',REG,711,A4E626,
N100,1,N100,Vaulx-en-Velin La Soie-Eurexpo,EVE,711,DC3323,
T36,1,T36,Parilly - St-Pierre de Chandieu Rajat (vers St-Jean de B.),REG,3,575756,
C5,1,C5,Jean Macé - Rillieux Semailles,REG,11,954B34,FFFFFF
S4A,1,S4A,Croix-Rousse - Clos Jouve - Henon - Croix-Rousse,REG,3,009A9D,000000
S4B,1,S4B,Croix-Rousse - Hopital Croix-Rousse - Henon - Croix-Rousse,REG,3,009A9D,FFFFFF
6E,1,6E,Gare d'Oullins - Ste Foy Place St Luc,REG,3,AC2352,FFFFFF
128,1,128,Meyzieu ZI - Saint-Priest Bel Air,REG,3,EE1D23,FFFFFF
C200,1,C200,Vaulx-en-V. la Soie - Genas Dormont - St Ex. - Gare Routière,REG,11,6C6D70,000000
C201,1,C201,Grange-Blanche - Colombier Saugnieu Les Salines,REG,11,0B4513,FFFFFF
TB11,1,TB11,Gare Saint-Paul - Laurent Bonnevay,REG,702,AB0C73,000000
2,1,2,Croix-Rousse - Plateau de Saint Rambert,REG,3,E5282B,
3,1,3,Gorge de Loup - Dardilly Le Jubin / Limonest Le Puy d'Or,REG,3,E5282B,
5,1,5,Pont Mouton - Charbonnières Les Verrières,REG,3,E5282B,
6,1,6,Gare d'Oullins - Ste Foy Place St Luc,REG,3,E5282B,
7,1,7,Laurent Bonnevay - Vaulx Lamartine,REG,3,E5282B,
8,1,8,Perrache - Oullins Clément Désormes,REG,3,E5282B,
9,1,9,Cordeliers - Sathonay Castellane,REG,3,E5282B,
10,1,10,Gare de Vaise - Porte de Lyon,REG,3,E5282B,
11,1,11,Gare d'Oullins - Thurins Mairie,REG,3,E5282B,
12,1,12,Gare d'Oullins - St-Genis-Laval Hôp. Sud,REG,3,E5282B,
14,1,14,Gare d'Oullins - Gorge de Loup,REG,3,E5282B,
15,1,15,Bellecour A. Poncet - Irigny Hauts de Selettes,REG,3,E5282B,
16,1,16,Vaulx-en-Velin La Soie - Décines Grand Large,REG,3,E5282B,
17,1,17,Gare d'Oullins - St Genis 2/Lycée Descartes,REG,3,E5282B,
18,1,18,St-Genis-Laval Hôp. Sud - Vernaison Place,REG,3,E5282B,
19,1,19,Gare Saint Paul - Le Pérollier,REG,3,E5282B,
20,1,20,Gare de Vaise - Saint-Cyr,REG,3,E5282B,
21,1,21,Gare de Vaise - Limonest Cimetière / Saint-Germain Gare,REG,3,E5282B,
22,1,22,Gare de Vaise - Saint Fortunat,REG,3,E5282B,
23,1,23,Gare de Vaise - Rocade des Monts d'Or,REG,3,E5282B,
24,1,24,Grange Blanche - Bron Sept Chemins,REG,3,E5282B,
25,1,25,Gare Part Dieu Vivier Merle - Bron Sept Chemins,REG,3,E5282B,
26,1,26,Lycée Lumière - Manissieux Pierre Blanche,REG,3,E5282B,
27,1,27,Vieux Lyon - Villeurbanne Centre,REG,3,E5282B,
30,1,30,St Pierre de Chandieu Rajat - St Priest Jules Ferry,REG,3,E5282B,
31,1,31,Perrache / Gare de Vaise - Cité Edouard Herriot,REG,3,E5282B,
32,1,32,Meyzieu Zi - Jons Hameau de Bianne,REG,3,E5282B,
33,1,33,Croix Rousse - Rillieux Les Alagniers,REG,3,E5282B,
34,1,34,Perrache - Grange Blanche,REG,3,E5282B,
35,1,35,Bellecour A. Poncet - Vénissieux Le Charréard,REG,3,E5282B,
37,1,37,Charpennes - Vaulx O'Hara,REG,3,E5282B,
38,1,38,Gare Part Dieu Vivier Merle - Caluire Place de la Bascule,REG,3,E5282B,
39,1,39,Parc de Parilly - Solaize,REG,3,E5282B,
40,1,40,Bellecour St Exupéry - Neuville,REG,3,E5282B,
43,1,43,Gare de Vaise - Saint Romain / Genay Proulieu,REG,3,E5282B,
45,1,45,Croix Rousse - Valdo,REG,3,E5282B,
46,1,46,Perrache - Boyer,REG,3,E5282B,
47,1,47,Meyzieu ZI - Aéroport Saint Exupéry - Maréchal Juin,REG,3,E5282B,
49,1,49,Perrache - Sainte-Foy Châtelain,REG,3,E5282B,
50,1,50,Saint-Priest Hôtel de Ville - La Fouillouse,REG,3,E5282B,
52,1,52,Vaulx La Grappinière - Parilly Université Hippodrome,REG,3,E5282B,
54,1,54,Gare de Vénissieux - Corbas Les Taillis / ZA Chapotin,REG,3,E5282B,
55,1,55,Perrache - Campus Lyon Ouest,REG,3,E5282B,
57,1,57,Laurent Bonnevay - Vaulx O'Hara / Décines Grand Large,REG,3,E5282B,
59,1,59,Cordeliers - Vancia Château Bérard,REG,3,E5282B,
60,1,60,Debourg - Feyzin Les Razes / Château de l' Isle,REG,3,E5282B,
61,1,61,Gare de Vaise - Lissieu Montluzin,REG,3,E5282B,
62,1,62,Gare de Vénissieux - Mions Jules Vallès,REG,3,E5282B,
63,1,63,Perrache - Oullins Le golf,REG,3,E5282B,
64,1,64,Jean Macé - Saint Fons Semard,REG,3,E5282B,
65,1,65,Gorge de Loup - Charcot La Source,REG,3,E5282B,
66,1,66,Saint-Just - Champagne Ecoles,REG,3,E5282B,
67,1,67,Laurent Bonnevay - Meyzieu ZI,REG,3,E5282B,
68,1,68,Vaulx-en-Velin La Soie - Chassieu Grandes Terres,REG,3,E5282B,
69,1,69,Manufacture Montluc - Collège Bertrand Tavernier,REG,3,E5282B,
70,1,70,Gare Part Dieu Vivier Merle - Neuville,REG,3,E5282B,
71,1,71,Gare de Vaise - Ecoles de Collonges,REG,3,E5282B,
72,1,72,Gorge de Loup - Saint Consorce,REG,3,E5282B,
76,1,76,Décines Grand Large - Corbas les Balmes,REG,3,E5282B,
77,1,77,Caluire Montessuy - Pont de Fontaines,REG,3,E5282B,
78,1,78,St-Genis-Laval Hôp. Sud - Gare de Givors Ville,REG,3,E5282B,
79,1,79,Vénissieux La Borelle - Décines Grand Large,REG,3,E5282B,
80,1,80,Grigny La Colombe - Givors Vallée du Gier,REG,3,E5282B,
81,1,81,Plateau de Montrond - Collège Paul Vallon,REG,3,E5282B,
82,1,82,Maison Ampère-Musée - Neuville l'echo,REG,3,E5282B,
84,1,84,Gare de Vaise - Neuville,REG,3,E5282B,
85,1,85,Décines Grand Large - Meyzieu Centre Aquatique,REG,3,E5282B,
86,1,86,Gorge de Loup - La Tour de Salvagny Chambettes,REG,3,E5282B,
87,1,87,Gare de Vénissieux - Mions Bourdelle,REG,3,E5282B,
88,1,88,Gare d'Oullins - St-Genis-Laval Hôp. Sud,REG,3,E5282B,
89,1,89,Gare de Vaise - Porte de Lyon,REG,3,E5282B,
90,1,90,Valmy Place Ferber - Sainte-Foy Châtelain,REG,3,E5282B,
93,1,93,Hôpital Feyzin Vénissieux - Porte des Alpes,REG,3,E5282B,
95,1,95,Meyzieu Parc du Grand Large - Jonage,REG,3,E5282B,
96,1,96,Neuville - Saint-Germain / Quincieux Boulodrome,REG,3,E5282B,
97,1,97,Neuville - Montanay Les Dîmes,REG,3,E5282B,
98,1,98,Gorge de Loup - Ecole Vétérinaire / Sain-Bel Gare,REG,3,E2001A,
15E,1,15E,Bellecour A. Poncet - Millery Pl. Bouton / Grigny J. Moulin,REG,3,6F4013,
98E,1,98E,Gorge de Loup - Marcy Campus Sanofi (Express),REG,3,6F4013,
BR60,1,BR60,Bus relais ligne 60 Perrache - Debourg,REG,3,FFDD00,
C1,1,C1,Gare Part-Dieu Vivier-Merle - Cuire,REG,11,778186,
C2,1,C2,Gare Part-Dieu Vivier-Merle - Rillieux Semailles,REG,11,778186,
C3,1,C3,Laurent Bonnevay - Vaulx La Grappinière,REG,11,778186,
C6,1,C6,Gare Part Dieu Vivier Merle - Campus Lyon Ouest,REG,11,778186,
C7,1,C7,Gare Part Dieu Vivier Merle - St-Genis-Laval Hôp. Sud,REG,11,778186,
C8,1,C8,Grange Blanche - Vaulx Résistance,REG,11,778186,
C9,1,C9,Bellecour A. Poncet - Hôpitaux Est,REG,11,778186,
C10,1,C10,Bellecour - Saint-Genis Barolles / Brignais Parc Birabent,REG,11,778186,
C11,1,C11,Saxe Gambetta - Laurent Bonnevay,REG,11,BF7214,
C12,1,C12,Bellecour A. Poncet - Hôpital Feyzin Vénissieux,REG,11,778186,
C13,1,C13,Grange Blanche - Montessuy,REG,11,778186,
C14,1,C14,Jean Macé - Les Sources,REG,11,778186,
C15,1,C15,Bachut - Laurent Bonnevay,REG,11,778186,
C16,1,C16,Charpennes - Surville Route de Vienne,REG,11,778186,
C17,1,C17,Charpennes - Porte des Alpes,REG,11,778186,
C18,1,C18,Cordeliers - Croix Rousse Nord,REG,11,778186,
C19,1,C19,Perrache - Francheville Taffignon,REG,11,778186,
C20,1,C20,Bellecour St Exupéry - Fort du Bruissin,REG,11,778186,
C21,1,C21,Perrache - Gorge de Loup,REG,11,778186,
C22,1,C22,Gorge de Loup - Brindas Centre,REG,11,778186,
C23,1,C23,Flachet Alain Gilles - Cité Internationale,REG,11,778186,
C24,1,C24,Gorge de Loup - Gymnase E. Catalon,REG,11,778186,
C25,1,C25,Gare Part Dieu Vivier Merle - St Priest Plaine de Saythe,REG,11,778186,
C26,1,C26,Cité Internationale Transbordeur- Grange Blanche,REG,11,778186,
GE2,1,GE2,Feyzin Gare - Solaize C.R.E.S.,REG,3,519349,
GE4,1,GE4,La Tour de Salvagny Gare - Techlid,TAD,3,C22929,
GE6,1,GE6,Charbonnières Gare - Marcy l'Etoile,REG,3,004F91,
PL1,1,PL1,Cité Internationale - Cordeliers - Parilly Univ. Hippodrome,REG,705,27348B,
PL2,1,PL2,Cuire - Cordeliers - Musée des Confluences,REG,705,27348B,
PL3,1,PL3,Stade de Gerland - Cordeliers - Campus Lyon Ouest,REG,705,27348B,
PL4,1,PL4,Vaulx HDV Campus - Cordeliers,REG,705,27348B,
S1,1,S1,Gare Saint Paul - Confluence Rambaud,REG,3,007632,
S2,1,S2,La Tour de Salvagny Mairie - Chambettes-Mairie-Gare-Mairie,REG,3,007632,
S5,1,S5,Caluire Bords de Saône - Chemin de Crépieux,REG,3,007632,
S6,1,S6,Hôtel de Ville Louis Pradel - Croix Rousse,REG,3,007632,
S7,1,S7,Saint Cyr - La Chaux Ecole de Champlong,REG,3,007632,
S8,1,S8,La Buissière Viralamande – Rillieux Vancia,REG,3,007632,
S9,1,S9,St-Genis-Laval Hôp. Sud - Moly,REG,3,007632,
S10,1,S10,Lycée Jean Perrin - Joannès Carret,REG,3,007632,
S11,1,S11,Gare de Vaise - Le Château Duchère,REG,3,007632,
S14,1,S14,Circulaire Neuville,REG,3,007632,
S15,1,S15,Gare d'Ecully la Demi-Lune  - Les Sources,REG,3,007632,
ZI1,1,ZI1,Gare de Vénissieux - Saint-Priest Gare,REG,3,009FE3,
ZI2,1,ZI2,Meyzieu Zi Nord - Meyzieu Zi Sud,REG,3,009FE3,
ZI3,1,ZI3,ZI Vaulx-en-Velin Est - Vaulx-en-Velin La Soie,REG,3,009FE3,
ZI4,1,ZI4,Vaulx La Soie - Caluire Chemin Petit,REG,3,009FE3,
ZI5,1,ZI5,Vaulx-en-Velin La Soie - Genas Rond-Point d'Italie,REG,3,009FE3,
ZI8,1,ZI8,St Priest Jules Ferry - Parc des Lumières,REG,3,009FE3,
A,1,A,Perrache - Vaulx-en-Velin La Soie,REG,1,E8308A,
B,1,B,Charpennes - Saint-Genis-Laval Hôpital Lyon Sud,REG,1,0075BF,
D,1,D,Gare de Vaise G. Collomb - Gare de Vénissieux,REG,1,009E3D,
F1,1,F1,Vieux Lyon - Saint Just,REG,7,95C23D,
F2,1,F2,Vieux Lyon - Fourvière,REG,7,95C23D,
T1,1,T1,Debourg - IUT Feyssine,REG,0,8C368C,
T4,1,T4,La Doua Gaston Berger  - Hôpital Feyzin Vénissieux,REG,0,8C368C,
2018,1,JD346,St Just d'Avray Le Château - Collège St Viateur,,713,17297B,EDD100
2022,1,JD351,Magny - Place Aristide Briand,,713,17297B,EDD100
2023,1,JD352,Thel Les Forêts - Lycée F. Mansart,,713,17297B,EDD100
2028,1,JD404,Tarare Bourg - Collège ND de Bel Air,,713,17297B,EDD100
2029,1,JD406,Bruillioles Vaux - Collège ND de Bel Air,,713,17297B,EDD100
2030,1,JD407,Brussieu Le Bourg - Lycée ND de Bel Air,,713,17297B,EDD100
2031,1,JD408,Place de la Bascule - Collège ND de Bel Air,,713,17297B,EDD100
2033,1,JD410,Chambost Allieres Ecole - Collège ND de Bel Air,,713,17297B,EDD100
2034,1,JD418,Le Gruppon - Cité Scolaire de Tarare,,713,17297B,EDD100
2083,1,JD342,La Pierre - Collège St Viateur,,713,17297B,EDD100
2084,1,JD360,La Bonnaire - Lamure sur Azergues Collège,,713,17297B,EDD100
2085,1,JD343,Les Roches - Collège St Viateur,,713,17297B,EDD100
2086,1,JD362,Scirie Rampon - Lamure sur Azergues Collège,,713,17297B,EDD100
2087,1,JD363,Chansaye - Lamure sur Azergues Collège,,713,17297B,EDD100
2088,1,JD386,La Douzette - Ecole Publique de Claveisolles,,713,17297B,EDD100
2089,1,JD398,Cours Le Bourg - Gare de Roanne,,713,17297B,EDD100
2090,1,JD399,Jodard - Gare de Roanne,,713,17297B,EDD100
2091,1,JD397,Bureau Buchet - Lycée Michel Servet,,713,17297B,EDD100
2092,1,JD358,Letra Le Pont - Lamure sur Azergues Collège,,713,17297B,EDD100
2093,1,JD353,Sylvestre - Place Aristide Briand,,713,17297B,EDD100
2094,1,JD375,Place Antoine Cugnet - Collège F. Brossette,,713,17297B,EDD100
2095,1,JD361,Le Goujon - Lamure sur Azergues Collège,,713,17297B,EDD100
2096,1,JD359,St Just Le Bourg - Lamure sur Azergue Collège,,713,17297B,EDD100
2097,1,JD348,Les Filatures - Collège St Viateur,,713,17297B,EDD100
2098,1,JD377,Goutte Romaine - Place de l'Europe,,713,17297B,EDD100
2099,1,JD379,St Vincent Le Bourg - Cublize Ecole Primaire,,713,17297B,EDD100
2100,1,JD345,Le Sadot - Collège St Viateur,,713,17297B,EDD100
2101,1,JD350,Gare de Villefranche - Lycée F. Mansart,,713,17297B,EDD100
2102,1,JD376,Lamure Collège - Claveisolles Pk Salle des Fêtes,,713,17297B,EDD100
2103,1,JD344,Les 4 Vents - Collège St Viateur,,713,17297B,EDD100
2104,1,JD409,La Croix Rouge - Collège ND de Bel Air,,713,17297B,EDD100
2105,1,JD419,Chemin de Marcel - Collège ND de Bel Air,,713,17297B,EDD100
2106,1,JD421,Le Marais - Lycée ND de Bel Air,,713,17297B,EDD100
2107,1,JD422,Les Longes - Lycée ND de Bel Air,,713,17297B,EDD100
2108,1,JD405,Wermare - Lycée ND de Bel Air,,713,17297B,EDD100
2109,1,JD423,Le Moulin - Cité Scolaire de Tarare,,713,17297B,EDD100
2110,1,JD403,St Laurent d'Oingt Gare - Collège ND de Bel Air,,713,17297B,EDD100
2111,1,JD426,Place des Tilleuls - Collège ND de Bel Air,,713,17297B,EDD100
2112,1,JD424,La Rivière - Lycée ND de Bel Air,,713,17297B,EDD100
2113,1,JD425,Poules Place Neuve - Lycée ND de Bel Air,,713,17297B,EDD100
2114,1,JD429,Poules les Echarmeaux Bourg - Lycée ND de Bel Air,,713,17297B,EDD100
2115,1,JD415,St Laurent Place du Marché - Collège ND de Bel Air,,713,17297B,EDD100
2116,1,JD416,Lycée ND de Bel Air - Cité Scolaire de Tarare,,713,17297B,EDD100
2117,1,JD417,Route de Paris - Cité Scolaire de Tarare,,713,17297B,EDD100
2118,1,JD428,Collège ND de Bel Air - Cité Scolaire de Tarare,,713,17297B,EDD100
2119,1,JD400,Patte d'Oie - Cité Scolaire de Tarare,,713,17297B,EDD100
2120,1,JD420,Lycée ND de Bel Air - Cité Scol de Tarare,,713,17297B,EDD100
2121,1,JD401,Hôtel de Ville - Cité Scolaire de Tarare,,713,17297B,EDD100
2122,1,JD402,Le Danguin - Cité Scolaire de Tarare,,713,17297B,EDD100
2123,1,JD427,Collège St Viateur - Collège ND de Bel Air,,713,17297B,EDD100
2124,1,JD374,Chemin du Gonnard - Stade,,713,17297B,EDD100
2125,1,JD414,Le Glay - Lycée ND de Bel Air,,713,17297B,EDD100
2126,1,JD445,Gare de Villefranche - Collège du Val d'Oingt,,713,17297B,EDD100
2127,1,JD347,Lycée ND de Bel Air - Collège St Viateur,,713,17297B,EDD100
2128,1,JD354,Gare d'Amplepuis - Parking Winslow,,713,17297B,EDD100
2129,1,JD378,Parking Winslow - Collège St Viateur,,713,17297B,EDD100
2130,1,JD411,Servy - Lycée ND de Bel Air,,713,17297B,EDD100
2131,1,JD412,Place des Rosiers - Collège ND de Bel Air,,713,17297B,EDD100
2132,1,JD413,La Croix de Mazieu - Collège ND de Bel Air,,713,17297B,EDD100
2133,1,JD349,Place de l'Europe - Collège St Viateur,,713,17297B,EDD100
J4,1,JD4,Collège La Xavière (Chaponnay),SCO,713,17297B,
J13,1,JD13,Centre Scolaire Assomption Bellevue (La Mulatière),SCO,713,17297B,
J36,1,JD36,Collège Jean-Philippe Rameau (Champagne-au-Mont-d'Or),SCO,713,17297B,
J41,1,JD41,Collège Pierre Brossolette (Oullins),SCO,713,17297B,
J53,1,JD53,Collège et Lycée Jean Perrin (Lyon 9ème),SCO,713,17297B,
J56,1,JD56,Collège et Lycée Jean Perrin (Lyon 9ème),SCO,713,17297B,
J58,1,JD58,Collège et Lycée Jean Perrin (Lyon 9ème),SCO,713,17297B,
J73,1,JD73,Institution ND de Bellegarde & Lycée Rosa Parks (Neuville),SCO,713,17297B,
J74,1,JD74,Institution ND de Bellegarde & Lycée Rosa Parks (Neuville),SCO,713,17297B,
