from_stop_id,to_stop_id,transfer_type,min_transfer_time
50444,48049,2,60
46939,43118,2,60
46939,43117,2,60
50472,386,2,60
50472,385,2,60
50469,47739,2,60
50469,1547,2,60
50468,40535,2,60
50468,40534,2,60
50467,33124,2,60
50467,11355,2,60
50463,50447,2,60
50463,50446,2,60
48154,41760,2,60
37567,37566,2,60
37565,37564,2,60
50397,50316,2,60
50397,50315,2,60
50450,50449,2,60
50241,50240,2,60
50241,43120,2,60
50241,43119,2,60
50241,42616,2,180
50240,43120,2,60
50240,43119,2,60
50240,42616,2,180
50118,30308,2,60
50118,30307,2,60
50407,50406,2,60
50407,37445,2,60
50407,1015,2,60
50406,37445,2,60
50406,1015,2,60
50405,46688,2,60
50405,2402,2,60
50404,48100,2,60
50403,2702,2,60
50403,2701,2,60
50403,2700,2,60
50403,10068,2,60
50396,50395,2,60
50396,48330,2,60
50396,204,2,60
50395,48330,2,60
50395,204,2,60
50393,46881,2,60
50392,48191,2,60
50392,43648,2,60
50392,3104,2,60
50249,50248,2,60
50249,11215,2,60
50249,10331,2,60
50248,11215,2,60
50248,10331,2,60
50247,50246,2,60
50247,47281,2,60
50247,33525,2,60
50246,47281,2,60
50246,33525,2,60
900,50245,2,60
899,50245,2,60
50245,50244,2,60
900,50244,2,60
899,50244,2,60
50239,50238,2,60
50171,2941,2,60
50171,2940,2,60
48330,204,2,60
50338,50337,2,60
50167,34350,2,60
50166,34350,2,60
50165,34350,2,60
50461,50460,2,60
981,50459,2,60
980,50459,2,60
50459,32342,2,60
50458,1387,2,60
50116,1085,2,60
50116,1084,2,60
2926,2925,2,120
50402,50401,2,60
50402,30388,2,60
50402,30387,2,60
50401,30388,2,60
50401,30387,2,60
50070,48247,2,60
50060,48247,2,60
48338,48247,2,60
581,50447,2,60
579,50447,2,60
50447,50446,2,60
50447,47432,2,60
50447,47384,2,60
581,50446,2,60
579,50446,2,60
50446,47432,2,60
50446,47384,2,60
50409,50408,2,60
50431,39921,2,60
50431,1489,2,60
50432,45378,2,60
50432,43838,2,60
50432,43836,2,60
50432,43835,2,60
50430,50429,2,60
50430,50428,2,60
50430,50260,2,60
50429,50428,2,60
50429,50260,2,60
50428,50260,2,60
50423,10386,2,60
50421,50420,2,60
50421,41737,2,60
50421,33782,2,60
50421,33780,2,60
50421,33779,2,60
50421,33778,2,60
50421,33777,2,60
50421,33775,2,60
50421,33773,2,60
50421,33770,2,60
50421,33769,2,60
50421,33767,2,60
50420,41737,2,60
50420,33782,2,60
50420,33780,2,60
50420,33779,2,60
50420,33778,2,60
50420,33777,2,60
50420,33775,2,60
50420,33773,2,60
50420,33770,2,60
50420,33769,2,60
50420,33767,2,60
48260,11859,2,60
48260,11858,2,60
50253,50252,2,60
50253,43124,2,60
50253,43123,2,60
50252,43124,2,60
50252,43123,2,60
50251,50250,2,60
50131,39997,2,60
50129,39997,2,60
46962,39997,2,60
46961,39997,2,60
46960,39997,2,60
39997,39996,2,60
39997,37274,2,60
39997,37217,2,60
39997,37216,2,60
39997,37170,2,60
39997,37169,2,60
50383,37195,2,60
50383,37194,2,60
50383,36514,2,60
50383,106,2,60
10179,10177,2,120
50342,50339,2,60
50342,46976,2,60
50342,46422,2,60
50342,32962,2,60
50342,1095,2,60
50342,1089,2,60
50342,1087,2,60
50258,50184,2,60
50258,37036,2,60
50258,37035,2,60
50258,36955,2,60
50258,2712,2,60
50258,2711,2,60
50258,10802,2,60
50258,10478,2,60
50290,50289,2,60
50288,50287,2,60
50362,47625,2,60
50361,1026,2,60
50360,47401,2,60
50360,1753,2,60
34109,34108,2,60
454,34108,2,60
453,34108,2,60
48300,40897,2,60
46212,40897,2,60
40897,40896,2,60
50351,44978,2,60
50351,43215,2,60
50351,43214,2,60
50353,48306,2,60
50349,1419,2,60
50349,1418,2,60
50349,1417,2,60
50349,1416,2,60
50339,46976,2,60
50167,50166,2,60
50167,50165,2,60
50167,50141,2,60
50167,50140,2,60
50167,47118,2,180
50167,46191,2,180
50167,44038,2,60
50167,39054,2,60
50167,35954,2,180
50167,35834,2,60
50167,32503,2,60
50167,32502,2,60
50167,2230,2,60
50167,2226,2,60
50167,2206,2,180
50339,1095,2,60
50339,1089,2,60
50339,1087,2,60
50316,50315,2,60
50165,50141,2,60
50165,47118,2,180
50165,46191,2,180
50165,44038,2,60
50165,39054,2,60
50165,35954,2,180
50165,35834,2,60
50165,32503,2,60
50165,32502,2,60
50165,2230,2,60
50165,2226,2,60
50165,2206,2,180
48370,42737,2,180
48353,46050,2,180
48353,42744,2,180
48352,46050,2,180
48352,42744,2,180
48351,46050,2,180
48351,42744,2,180
47904,30158,2,180
47904,30157,2,180
46702,30208,2,180
46702,30207,2,180
46034,40995,2,120
46033,40995,2,120
46032,40841,2,60
46031,40841,2,60
46050,33243,2,180
42744,33243,2,180
30188,11488,2,60
30187,11488,2,240
50318,50317,2,60
50318,47279,2,60
50318,46441,2,60
50317,47279,2,60
50317,46441,2,60
50312,50311,2,60
50310,50309,2,60
50308,1402,2,60
50308,1401,2,60
50307,50306,2,60
50305,50304,2,60
50303,50302,2,60
50301,50300,2,60
50299,50298,2,60
50297,50296,2,60
50285,50284,2,60
50281,33243,2,60
48353,33243,2,60
48352,33243,2,60
48351,33243,2,60
48197,1504,2,60
48190,1504,2,60
48189,1504,2,60
48099,1504,2,60
47914,1504,2,60
47088,2088,2,60
47088,2087,2,60
46702,3035,2,60
46702,3034,2,60
46702,10607,2,60
46310,40841,2,60
46190,40841,2,60
46189,40841,2,60
43226,33243,2,60
43225,33243,2,60
43224,33243,2,60
599,33243,2,120
33243,10945,2,120
1767,10801,2,120
1515,1504,2,120
1513,1504,2,120
1512,1504,2,120
1511,1504,2,120
1509,1504,2,120
1508,1504,2,120
1507,1504,2,120
1505,1504,2,120
599,50281,2,60
50281,48353,2,60
50281,48352,2,60
50281,48351,2,60
50281,43226,2,60
50281,43225,2,60
50215,10637,2,60
48373,48372,2,60
48373,47144,2,60
48373,47007,2,60
48373,1078,2,60
48373,1075,2,60
48372,47144,2,60
48372,47007,2,60
48372,1078,2,60
48372,1075,2,60
48370,46255,2,60
48370,10166,2,60
47904,43454,2,60
47904,10199,2,60
47904,10198,2,60
47059,2904,2,60
47059,11736,2,60
47058,2904,2,60
47058,11736,2,60
2904,11736,2,120
50283,50282,2,60
48186,48185,2,60
50232,50231,2,60
50279,48160,2,60
50279,1906,2,60
50279,1905,2,60
50274,50273,2,60
50195,30413,2,60
50194,43033,2,60
50184,37035,2,60
50184,2712,2,60
50184,2711,2,60
50158,50157,2,60
50158,10618,2,60
50157,10618,2,60
50156,50155,2,60
50154,50153,2,60
50151,50150,2,60
48115,48114,2,60
48112,48111,2,60
48110,48109,2,60
48108,48107,2,60
48106,48105,2,60
45917,45916,2,60
44939,44938,2,60
50213,50212,2,60
50213,46788,2,60
50212,46788,2,60
50212,1377,2,60
50211,50210,2,180
50211,50209,2,180
50211,50208,2,180
50211,50207,2,180
50211,50206,2,180
50211,50205,2,180
50211,50204,2,180
50211,48376,2,60
50211,48375,2,60
50211,44598,2,180
50211,33685,2,180
50166,50165,2,60
50166,50141,2,60
50166,50140,2,60
50166,47118,2,180
50166,46191,2,180
50166,44038,2,60
50166,39054,2,60
50166,35954,2,180
50166,35834,2,60
50166,32503,2,60
50166,32502,2,60
50166,2230,2,60
50166,2226,2,60
50166,2206,2,180
50165,50140,2,60
46976,46422,2,60
46976,32962,2,60
46976,30190,2,180
46976,30189,2,180
46976,1095,2,60
46976,1089,2,60
46976,1087,2,60
50347,41214,2,60
50347,41101,2,60
50341,48430,2,60
50341,10298,2,60
50339,46422,2,60
50339,32962,2,60
50211,11518,2,180
50210,50209,2,60
50210,50207,2,60
50210,50205,2,60
50210,48376,2,180
50210,48375,2,180
50209,50208,2,60
50209,50207,2,60
50209,50206,2,60
50209,50205,2,60
50209,50204,2,60
50209,48376,2,180
50209,48375,2,180
50209,44598,2,60
50209,33685,2,60
50209,11518,2,60
50208,50207,2,60
50208,50205,2,60
50208,48376,2,180
50208,48375,2,180
50207,50206,2,60
50207,50205,2,60
50207,50204,2,60
50207,48376,2,180
50207,48375,2,180
50207,44598,2,60
50207,33685,2,60
50207,11518,2,60
50206,50205,2,60
50206,48376,2,180
50206,48375,2,180
50205,50204,2,60
50205,48376,2,180
50205,48375,2,180
50205,44598,2,60
50205,33685,2,60
50205,11518,2,60
50204,48376,2,180
50204,48375,2,180
48376,48375,2,60
48376,44598,2,180
48376,33685,2,180
48376,11518,2,180
48375,44598,2,180
48375,33685,2,180
48375,11518,2,180
46788,1377,2,60
50210,50204,2,60
50208,50204,2,60
50206,50204,2,60
50204,44598,2,60
50204,33685,2,60
50210,33685,2,60
50210,11518,2,60
50208,50206,2,60
50208,44598,2,60
50208,33685,2,60
50208,11518,2,60
50206,44598,2,60
50206,33685,2,60
50206,11518,2,60
50131,37215,2,60
50129,37215,2,60
50223,35054,2,60
50213,1377,2,60
50201,50200,2,60
599,48352,2,60
48352,48351,2,60
48352,43226,2,60
50281,43224,2,60
50281,10945,2,60
50222,3282,2,60
50221,31353,2,60
50220,500,2,60
50219,11400,2,60
50218,2597,2,60
50217,43920,2,60
50216,46569,2,60
50216,43934,2,60
50216,42954,2,60
50216,1179,2,60
50216,1178,2,60
50215,47110,2,60
50215,46593,2,180
50215,35958,2,180
50215,35957,2,180
50215,35774,2,180
50215,2186,2,180
50215,2185,2,180
50215,11921,2,180
50215,10947,2,60
50215,10946,2,60
50215,10638,2,60
48352,43225,2,60
48352,43224,2,60
48352,10945,2,60
599,48351,2,60
48351,43226,2,60
48351,43225,2,60
48351,43224,2,60
48351,10945,2,60
50131,37217,2,60
50129,37217,2,60
50265,47336,2,60
50265,47335,2,60
50204,11518,2,60
599,48353,2,60
48353,48352,2,60
48353,48351,2,60
48353,43226,2,60
48353,43225,2,60
48353,43224,2,60
48353,10945,2,60
48332,37447,2,60
50210,50208,2,60
50210,50206,2,60
50210,44598,2,60
50123,37754,2,60
50184,37036,2,60
50184,36955,2,60
50184,10802,2,60
50184,10478,2,60
50188,47661,2,60
50188,47660,2,60
50188,1328,2,60
50188,1327,2,60
50181,50120,2,60
50181,1625,2,60
50181,1624,2,60
50120,1625,2,60
50120,1624,2,60
50119,1224,2,60
50119,1223,2,60
48334,48333,2,60
50185,46664,2,180
50185,46132,2,60
50185,46130,2,60
50185,46126,2,60
50185,46125,2,60
50185,46124,2,60
50185,46123,2,60
50185,46122,2,60
50185,46121,2,60
50185,46120,2,60
50185,46067,2,180
50162,11109,2,60
50115,48132,2,60
50180,50179,2,60
50180,41778,2,60
50180,368,2,60
50180,367,2,60
50179,41778,2,60
50179,368,2,60
50179,367,2,60
47690,41198,2,180
47647,41198,2,120
46088,41194,2,240
45884,41194,2,60
45883,41194,2,60
45848,41194,2,60
44038,41194,2,180
46334,41199,2,540
41198,41197,2,60
41198,39998,2,120
41198,36115,2,120
41198,36114,2,120
46025,41194,2,360
46024,41194,2,180
41194,39054,2,240
41194,35834,2,240
41194,35659,2,60
41194,34350,2,240
41194,32503,2,240
41194,32502,2,240
41194,2230,2,240
41194,2226,2,240
41194,32121,2,360
41194,32120,2,360
41194,10324,2,180
41194,10323,2,240
944,32169,2,180
944,32168,2,180
931,46053,2,180
931,42742,2,180
930,46053,2,180
930,42742,2,180
71,70,2,120
661,46059,2,60
661,42736,2,60
644,30225,2,240
644,2369,2,240
644,2367,2,240
644,2364,2,240
644,11544,2,240
644,11058,2,240
644,643,2,120
643,30225,2,240
643,2369,2,240
643,2367,2,240
643,2364,2,240
643,11544,2,240
643,11058,2,240
599,46050,2,180
599,42744,2,180
587,32131,2,60
587,32130,2,60
586,32131,2,60
586,32130,2,60
581,579,2,120
547,32131,2,240
547,32130,2,240
546,32131,2,240
546,32130,2,240
